DEPTH,RHOB,DT,GR,AI,AIR,PHIE,label,AILP,AIRLP,RHOBLP,GRLP,PHIELP
566.1,2124.7632,517.4154,59.4663,4107343.75,-49833.3633,0.3282,3,3956374.7871534033,-48712.83408262407,2051.3684960439296,59.15857293086815,0.3757087988216782
566.25,2134.5334,507.2025,60.252,4208687.5,-53397.0625,0.3222,3,3956687.5744838286,-49207.875978567936,2050.559744496584,58.977722108371374,0.3762093879939389
566.4,2094.8206,511.6121,63.0943,4096121.25,-53397.0625,0.347,3,3956980.970547081,-49685.376134702485,2049.705662690464,58.80697590289463,0.37673770530936423
566.55,2073.1235,521.2858,64.8065,3977078.75,-53397.0625,0.3605,3,3957259.24155736,-50150.98398362546,2048.8180751154696,58.649053859604116,0.3772863958893645
566.7,2080.2976,526.2202,64.8663,3953296.5,-53397.0625,0.356,3,3957526.32513624,-50610.202499711944,2047.9090949565766,58.5065951455773,0.37784792994551764
566.85,2092.687,528.4272,64.7927,3960211.25,-53397.0625,0.3483,3,3957785.7805228257,-51068.37634082752,2046.9910107682954,58.382133366926716,0.37841467325791267
567.0,2099.5283,521.3912,64.0255,4027550.0,-53397.0625,0.344,3,3958040.744150208,-51530.680110072186,2046.0761720443838,58.27807239093731,0.37897895829265915
567.15,2094.3196,510.5325,62.5182,4102385.0,-53397.0625,0.3473,3,3958293.890798905,-52002.106721989665,2045.17687465309,58.19666338253243,0.37953315535636
567.3,2089.2817,506.6869,61.6826,4123417.5,-53397.0625,0.3505,3,3958547.400499262,-52487.45586363063,2044.3052471143044,58.139983252349374,0.3800697431819283
567.45,2088.1541,508.1813,61.6826,4109120.0,-53397.0625,0.3511,3,3958802.9313178654,-52991.32254710314,2043.473138693133,58.109914700011274,0.3805813783416444
567.6,2101.75,509.323,61.6826,4126592.25,-53397.0625,0.3426,3,3959061.5981278815,-53518.08575669217,2042.6920102743952,58.108128020960315,0.38106096288988145
567.75,2118.2683,510.3148,61.6826,4150969.75,-53397.0625,0.3324,3,3959323.957429664,-54071.89720019393,2041.9728289643951,58.1360648286172,0.38150170964949426
567.9,2101.0459,512.9979,59.4124,4095687.25,-53397.0625,0.3431,3,3959589.998255839,-54656.67018070287,2041.325967339971,58.19492382581065,0.38189720457246745
568.05,2082.4695,514.7313,56.363,4045751.0,-53397.0625,0.3547,3,3959859.1391643477,-55276.068611624614,2040.7611082304147,58.28564874054514,0.38224146562698263
568.2,2083.0247,515.2559,56.363,4042705.75,-53397.0625,0.3544,3,3960130.231293462,-55933.49620408399,2040.2871558755767,58.40891852141853,0.382528997689493
568.35,2078.2678,513.8738,56.8028,4044307.5,-53397.0625,0.3573,3,3960401.5674242782,-56632.08586207379,2039.912154253558,58.565139867543415,0.3827548429515597
568.5,2067.7583,512.207,57.6161,4036957.5,-53397.0625,0.3639,3,3960670.896968468,-57374.689326569765,2039.6432133141534,58.75444214685464,0.3829146263869169
568.65,2039.92,509.0873,57.7503,4006823.75,-53397.0625,0.3813,3,3960935.4467718257,-58163.867115347144,2039.4864437899776,58.97667473538892,0.383004595864259
568.8,1990.744,505.9529,57.7503,3934650.5,-53397.0625,0.412,3,3961191.9475971856,-59001.878810306254,2039.4469011864126,59.23140678869383,0.3830216565353106
568.95,1982.1886,506.5375,57.1154,3913195.25,-53397.0625,0.4173,3,3961436.6661233883,-59890.673748682915,2039.5285394747436,59.517929435152446,0.3829633991755207
569.1,1981.1323,507.8528,55.7003,3901089.75,-53397.0625,0.418,3,3961665.4422697555,-60831.88217852932,2039.7341749306788,59.83526035988384,0.3828281222058676
